Subno	BevAdGrp	GameGrp	Channel	P3ampl	TargType
31042	beer_ad	OG	P4	11.39904	beer_target
31042	beer_ad	OG	PO5	9.95587	beer_target
31042	beer_ad	OG	PO3	10.07764	beer_target
31042	beer_ad	OG	POz	10.90720	beer_target
31042	beer_ad	OG	PO4	11.83312	beer_target
31042	beer_ad	OG	PO6	13.45479	beer_target
31042	beer_ad	OG	O1	8.01618	beer_target
31042	beer_ad	OG	Oz	8.56351	beer_target
31042	beer_ad	OG	O2	12.39643	beer_target
31046	beer_ad	OG	P3	15.71284	beer_target
31046	beer_ad	OG	P1	17.45128	beer_target
31046	beer_ad	OG	Pz	18.10998	beer_target
31046	beer_ad	OG	P2	17.47481	beer_target
31046	beer_ad	OG	P4	17.53881	beer_target
31046	beer_ad	OG	PO5	20.50223	beer_target
31046	beer_ad	OG	PO3	18.62611	beer_target
31046	beer_ad	OG	POz	18.31750	beer_target
31046	beer_ad	OG	PO4	19.10028	beer_target
31046	beer_ad	OG	PO6	20.66490	beer_target
31046	beer_ad	OG	O1	16.38730	beer_target
31046	beer_ad	OG	Oz	11.38048	beer_target
31046	beer_ad	OG	O2	15.65049	beer_target
31049	beer_ad	OG	P3	6.19617	beer_target
31049	beer_ad	OG	P1	7.01190	beer_target
31049	beer_ad	OG	Pz	7.84556	beer_target
31049	beer_ad	OG	P2	6.12566	beer_target
31049	beer_ad	OG	P4	3.75492	beer_target
31049	beer_ad	OG	PO5	7.05920	beer_target
31049	beer_ad	OG	PO3	6.79265	beer_target
31049	beer_ad	OG	POz	6.27003	beer_target
31049	beer_ad	OG	PO4	4.32498	beer_target
31049	beer_ad	OG	PO6	4.50002	beer_target
31049	beer_ad	OG	O1	3.16881	beer_target
31049	beer_ad	OG	Oz	-1.48757	beer_target
31049	beer_ad	OG	O2	0.79467	beer_target
31054	beer_ad	OG	P3	2.43493	beer_target
31054	beer_ad	OG	P1	2.54272	beer_target
31054	beer_ad	OG	Pz	1.59062	beer_target
31054	beer_ad	OG	P2	4.35636	beer_target
31054	beer_ad	OG	P4	7.11667	beer_target
31054	beer_ad	OG	PO5	7.55530	beer_target
31054	beer_ad	OG	PO3	5.90150	beer_target
31054	beer_ad	OG	POz	5.60709	beer_target
31054	beer_ad	OG	PO4	7.73613	beer_target
31054	beer_ad	OG	PO6	12.59056	beer_target
31054	beer_ad	OG	O1	9.01466	beer_target
31054	beer_ad	OG	Oz	5.75268	beer_target
31054	beer_ad	OG	O2	11.35292	beer_target
31060	beer_ad	OG	P3	9.45297	beer_target
31060	beer_ad	OG	P1	8.46174	beer_target
31060	beer_ad	OG	Pz	6.64839	beer_target
31060	beer_ad	OG	P2	6.30047	beer_target
31060	beer_ad	OG	P4	5.24185	beer_target
31060	beer_ad	OG	PO5	14.07405	beer_target
31060	beer_ad	OG	PO3	13.93868	beer_target
31060	beer_ad	OG	POz	12.16773	beer_target
31060	beer_ad	OG	PO4	11.62585	beer_target
31060	beer_ad	OG	PO6	12.14170	beer_target
31060	beer_ad	OG	O1	16.83425	beer_target
31060	beer_ad	OG	Oz	14.08116	beer_target
31060	beer_ad	OG	O2	16.32245	beer_target
31063	beer_ad	OG	P3	7.06629	beer_target
31063	beer_ad	OG	P1	7.76732	beer_target
31063	beer_ad	OG	Pz	8.30239	beer_target
31063	beer_ad	OG	P2	9.71587	beer_target
31063	beer_ad	OG	P4	10.28429	beer_target
31063	beer_ad	OG	PO5	9.13995	beer_target
31063	beer_ad	OG	PO3	8.67894	beer_target
31063	beer_ad	OG	POz	9.30797	beer_target
31063	beer_ad	OG	PO4	10.09316	beer_target
31063	beer_ad	OG	PO6	11.43126	beer_target
31063	beer_ad	OG	O1	9.13675	beer_target
31063	beer_ad	OG	Oz	7.34062	beer_target
31063	beer_ad	OG	O2	10.04357	beer_target
31066	beer_ad	OG	P3	3.86475	beer_target
31066	beer_ad	OG	P1	1.21754	beer_target
31066	beer_ad	OG	Pz	-2.51002	beer_target
31066	beer_ad	OG	P2	-2.12144	beer_target
31066	beer_ad	OG	P4	-0.40505	beer_target
31066	beer_ad	OG	PO5	9.29640	beer_target
31066	beer_ad	OG	PO3	7.68858	beer_target
31066	beer_ad	OG	POz	4.22621	beer_target
31066	beer_ad	OG	PO4	3.26371	beer_target
31066	beer_ad	OG	PO6	4.18832	beer_target
31066	beer_ad	OG	O1	15.68251	beer_target
31066	beer_ad	OG	Oz	10.18485	beer_target
31066	beer_ad	OG	O2	8.08985	beer_target
31069	beer_ad	OG	P3	4.31191	beer_target
31069	beer_ad	OG	P1	7.09703	beer_target
31069	beer_ad	OG	Pz	8.42724	beer_target
31069	beer_ad	OG	P2	8.27356	beer_target
31069	beer_ad	OG	P4	7.57771	beer_target
31069	beer_ad	OG	PO5	9.94328	beer_target
31069	beer_ad	OG	PO3	13.04340	beer_target
31069	beer_ad	OG	POz	13.37499	beer_target
31069	beer_ad	OG	PO4	15.07900	beer_target
31069	beer_ad	OG	PO6	14.33693	beer_target
31069	beer_ad	OG	O1	12.97874	beer_target
31069	beer_ad	OG	Oz	12.98742	beer_target
31069	beer_ad	OG	O2	15.52755	beer_target
31076	beer_ad	OG	P3	8.80866	beer_target
31076	beer_ad	OG	P1	9.33195	beer_target
31076	beer_ad	OG	Pz	9.78137	beer_target
31076	beer_ad	OG	P2	10.57850	beer_target
31076	beer_ad	OG	P4	11.03914	beer_target
31076	beer_ad	OG	PO5	7.56973	beer_target
31076	beer_ad	OG	PO3	7.76724	beer_target
31076	beer_ad	OG	POz	8.74910	beer_target
31076	beer_ad	OG	PO4	9.29333	beer_target
31076	beer_ad	OG	PO6	8.91726	beer_target
31076	beer_ad	OG	O1	4.97254	beer_target
31076	beer_ad	OG	Oz	3.88424	beer_target
31076	beer_ad	OG	O2	5.60241	beer_target
31077	beer_ad	OG	P3	12.05981	beer_target
31077	beer_ad	OG	P1	12.10782	beer_target
31077	beer_ad	OG	Pz	11.81927	beer_target
31077	beer_ad	OG	P2	11.90667	beer_target
31077	beer_ad	OG	P4	11.53458	beer_target
31077	beer_ad	OG	PO5	14.51384	beer_target
31077	beer_ad	OG	PO3	14.48958	beer_target
31077	beer_ad	OG	POz	14.57240	beer_target
31077	beer_ad	OG	PO4	14.24612	beer_target
31077	beer_ad	OG	PO6	15.06817	beer_target
31077	beer_ad	OG	O1	15.70502	beer_target
31077	beer_ad	OG	Oz	13.72828	beer_target
31077	beer_ad	OG	O2	14.67801	beer_target
31082	beer_ad	OG	P3	7.99890	beer_target
31082	beer_ad	OG	P1	8.04486	beer_target
31082	beer_ad	OG	Pz	8.65041	beer_target
31082	beer_ad	OG	P2	8.15699	beer_target
31082	beer_ad	OG	P4	8.14732	beer_target
31082	beer_ad	OG	PO5	10.71613	beer_target
31082	beer_ad	OG	PO3	11.22333	beer_target
31082	beer_ad	OG	POz	12.15539	beer_target
31082	beer_ad	OG	PO4	12.42448	beer_target
31082	beer_ad	OG	PO6	14.44946	beer_target
31082	beer_ad	OG	O1	11.45172	beer_target
31082	beer_ad	OG	Oz	10.38662	beer_target
31082	beer_ad	OG	O2	12.22297	beer_target
31085	beer_ad	OG	P3	5.56687	beer_target
31085	beer_ad	OG	P1	6.50953	beer_target
31085	beer_ad	OG	Pz	6.18971	beer_target
31085	beer_ad	OG	P2	6.92587	beer_target
31085	beer_ad	OG	P4	7.42650	beer_target
31085	beer_ad	OG	PO5	10.62668	beer_target
31085	beer_ad	OG	PO3	9.89192	beer_target
31085	beer_ad	OG	POz	9.27168	beer_target
31085	beer_ad	OG	PO4	9.72930	beer_target
31085	beer_ad	OG	PO6	10.76528	beer_target
31085	beer_ad	OG	O1	14.12244	beer_target
31085	beer_ad	OG	Oz	9.52881	beer_target
31085	beer_ad	OG	O2	11.13829	beer_target
31092	beer_ad	OG	P3	2.51093	beer_target
31092	beer_ad	OG	P1	4.03526	beer_target
31092	beer_ad	OG	Pz	5.30803	beer_target
31092	beer_ad	OG	P2	5.92132	beer_target
31092	beer_ad	OG	P4	6.37371	beer_target
31092	beer_ad	OG	PO5	3.03550	beer_target
31092	beer_ad	OG	PO3	4.14334	beer_target
31092	beer_ad	OG	POz	5.50640	beer_target
31092	beer_ad	OG	PO4	5.89266	beer_target
31092	beer_ad	OG	PO6	6.65144	beer_target
31092	beer_ad	OG	O1	1.99529	beer_target
31092	beer_ad	OG	Oz	2.28678	beer_target
31092	beer_ad	OG	O2	4.97499	beer_target
31094	beer_ad	OG	P3	7.42759	beer_target
31094	beer_ad	OG	P1	6.81776	beer_target
31094	beer_ad	OG	Pz	6.31773	beer_target
31094	beer_ad	OG	P2	5.61085	beer_target
31094	beer_ad	OG	P4	5.10526	beer_target
31094	beer_ad	OG	PO5	6.88049	beer_target
31094	beer_ad	OG	PO3	7.90976	beer_target
31094	beer_ad	OG	POz	7.17047	beer_target
31094	beer_ad	OG	PO4	6.41178	beer_target
31094	beer_ad	OG	PO6	6.45515	beer_target
31094	beer_ad	OG	O1	3.95742	beer_target
31094	beer_ad	OG	Oz	3.69707	beer_target
31094	beer_ad	OG	O2	6.98147	beer_target
31097	beer_ad	OG	P3	2.33549	beer_target
31097	beer_ad	OG	P1	2.15324	beer_target
31097	beer_ad	OG	Pz	0.99540	beer_target
31097	beer_ad	OG	P2	1.51058	beer_target
31097	beer_ad	OG	P4	1.46864	beer_target
31097	beer_ad	OG	PO5	6.16155	beer_target
31097	beer_ad	OG	PO3	4.22584	beer_target
31097	beer_ad	OG	POz	3.53214	beer_target
31097	beer_ad	OG	PO4	3.41173	beer_target
31097	beer_ad	OG	PO6	3.22197	beer_target
31097	beer_ad	OG	O1	7.58777	beer_target
31097	beer_ad	OG	Oz	5.75967	beer_target
31097	beer_ad	OG	O2	4.49392	beer_target
31102	beer_ad	OG	P3	14.36382	beer_target
31102	beer_ad	OG	P1	13.68195	beer_target
31102	beer_ad	OG	Pz	12.41813	beer_target
31102	beer_ad	OG	P2	13.74275	beer_target
31102	beer_ad	OG	P4	13.63165	beer_target
31102	beer_ad	OG	PO5	15.49392	beer_target
31102	beer_ad	OG	PO3	12.66490	beer_target
31102	beer_ad	OG	POz	12.57569	beer_target
31102	beer_ad	OG	PO4	14.52044	beer_target
31102	beer_ad	OG	PO6	16.69571	beer_target
31102	beer_ad	OG	O1	12.58424	beer_target
31102	beer_ad	OG	Oz	6.86825	beer_target
31102	beer_ad	OG	O2	13.04257	beer_target
31004	water_ad	OG	P3	18.31286	beer_target
31004	water_ad	OG	P1	19.64163	beer_target
31004	water_ad	OG	Pz	19.37158	beer_target
31004	water_ad	OG	P2	19.62582	beer_target
31004	water_ad	OG	P4	18.84582	beer_target
31004	water_ad	OG	PO5	18.43941	beer_target
31004	water_ad	OG	PO3	19.51887	beer_target
31004	water_ad	OG	POz	20.15562	beer_target
31004	water_ad	OG	PO4	19.76091	beer_target
31004	water_ad	OG	PO6	19.11308	beer_target
31004	water_ad	OG	O1	15.35449	beer_target
31004	water_ad	OG	Oz	14.87429	beer_target
31004	water_ad	OG	O2	16.20075	beer_target
31005	water_ad	OG	P3	6.57764	beer_target
31005	water_ad	OG	P1	5.43542	beer_target
31005	water_ad	OG	Pz	5.83652	beer_target
31005	water_ad	OG	P2	4.62765	beer_target
31005	water_ad	OG	P4	4.63417	beer_target
31005	water_ad	OG	PO5	11.91773	beer_target
31005	water_ad	OG	PO3	10.70706	beer_target
31005	water_ad	OG	POz	10.66035	beer_target
31005	water_ad	OG	PO4	7.28397	beer_target
31005	water_ad	OG	PO6	5.92992	beer_target
31005	water_ad	OG	O1	13.21185	beer_target
31005	water_ad	OG	Oz	9.84991	beer_target
31005	water_ad	OG	O2	7.56227	beer_target
31011	water_ad	OG	P3	6.20892	beer_target
31011	water_ad	OG	P1	7.05938	beer_target
31011	water_ad	OG	Pz	6.73374	beer_target
31011	water_ad	OG	P2	5.87667	beer_target
31011	water_ad	OG	P4	6.52085	beer_target
31011	water_ad	OG	PO5	10.62049	beer_target
31011	water_ad	OG	PO3	9.31372	beer_target
31011	water_ad	OG	POz	9.11293	beer_target
31011	water_ad	OG	PO4	8.07429	beer_target
31011	water_ad	OG	PO6	9.02941	beer_target
31011	water_ad	OG	O1	7.65737	beer_target
31011	water_ad	OG	Oz	6.49650	beer_target
31011	water_ad	OG	O2	6.09100	beer_target
31015	water_ad	OG	P3	13.90083	beer_target
31015	water_ad	OG	P1	13.96336	beer_target
31015	water_ad	OG	Pz	13.92761	beer_target
31015	water_ad	OG	P2	14.22508	beer_target
31015	water_ad	OG	P4	14.00107	beer_target
31015	water_ad	OG	PO5	17.45597	beer_target
31015	water_ad	OG	PO3	17.70446	beer_target
31015	water_ad	OG	POz	18.21338	beer_target
31015	water_ad	OG	PO4	16.74999	beer_target
31015	water_ad	OG	PO6	14.57133	beer_target
31015	water_ad	OG	O1	17.30651	beer_target
31015	water_ad	OG	Oz	13.42337	beer_target
31015	water_ad	OG	O2	11.74090	beer_target
31020	water_ad	OG	P3	5.37390	beer_target
31020	water_ad	OG	P1	5.53742	beer_target
31020	water_ad	OG	Pz	6.65369	beer_target
31020	water_ad	OG	P2	6.45857	beer_target
31020	water_ad	OG	P4	5.70106	beer_target
31020	water_ad	OG	PO5	5.17206	beer_target
31020	water_ad	OG	PO3	5.32669	beer_target
31020	water_ad	OG	POz	5.03112	beer_target
31020	water_ad	OG	PO4	4.07338	beer_target
31020	water_ad	OG	PO6	4.27652	beer_target
31020	water_ad	OG	O1	2.15054	beer_target
31020	water_ad	OG	Oz	0.18352	beer_target
31020	water_ad	OG	O2	0.44710	beer_target
31024	water_ad	OG	P3	6.12011	beer_target
31024	water_ad	OG	P1	5.61364	beer_target
31024	water_ad	OG	Pz	4.79003	beer_target
31024	water_ad	OG	P2	4.80930	beer_target
31024	water_ad	OG	P4	5.13042	beer_target
31024	water_ad	OG	PO5	8.89389	beer_target
31024	water_ad	OG	PO3	9.15829	beer_target
31024	water_ad	OG	POz	8.53493	beer_target
31024	water_ad	OG	PO4	8.38503	beer_target
31024	water_ad	OG	PO6	9.26627	beer_target
31024	water_ad	OG	O1	11.11562	beer_target
31024	water_ad	OG	Oz	11.45620	beer_target
31024	water_ad	OG	O2	11.83373	beer_target
31026	water_ad	OG	P3	9.90028	beer_target
31026	water_ad	OG	P1	9.09876	beer_target
31026	water_ad	OG	Pz	9.14644	beer_target
31026	water_ad	OG	P2	10.25356	beer_target
31026	water_ad	OG	P4	11.31079	beer_target
31026	water_ad	OG	PO5	10.89474	beer_target
31026	water_ad	OG	PO3	9.31544	beer_target
31026	water_ad	OG	POz	9.17155	beer_target
31026	water_ad	OG	PO4	10.84702	beer_target
31026	water_ad	OG	PO6	12.96754	beer_target
31026	water_ad	OG	O1	8.68541	beer_target
31026	water_ad	OG	Oz	5.95927	beer_target
31026	water_ad	OG	O2	11.10765	beer_target
31029	water_ad	OG	P3	9.16346	beer_target
31029	water_ad	OG	P1	9.31390	beer_target
31029	water_ad	OG	Pz	10.44109	beer_target
31029	water_ad	OG	P2	10.93720	beer_target
31029	water_ad	OG	P4	12.12744	beer_target
31029	water_ad	OG	PO5	9.71561	beer_target
31029	water_ad	OG	PO3	10.04249	beer_target
31029	water_ad	OG	POz	9.96968	beer_target
31029	water_ad	OG	PO4	10.88649	beer_target
31029	water_ad	OG	PO6	13.85215	beer_target
31029	water_ad	OG	O1	5.58126	beer_target
31029	water_ad	OG	Oz	4.92640	beer_target
31029	water_ad	OG	O2	6.41270	beer_target
31044	water_ad	OG	P3	18.79577	beer_target
31044	water_ad	OG	P1	19.79268	beer_target
31044	water_ad	OG	Pz	20.35127	beer_target
31044	water_ad	OG	P2	22.10977	beer_target
31044	water_ad	OG	P4	21.76438	beer_target
31044	water_ad	OG	PO5	18.52863	beer_target
31044	water_ad	OG	PO3	18.60179	beer_target
31044	water_ad	OG	POz	20.54690	beer_target
31044	water_ad	OG	PO4	20.93380	beer_target
31044	water_ad	OG	PO6	21.13046	beer_target
31044	water_ad	OG	O1	15.04958	beer_target
31044	water_ad	OG	Oz	12.85026	beer_target
31044	water_ad	OG	O2	15.75479	beer_target
31045	water_ad	OG	P3	0.99810	beer_target
31045	water_ad	OG	P1	1.66238	beer_target
31045	water_ad	OG	Pz	2.52838	beer_target
