Subno	BevAdGrp	GameGrp	Channel	P3ampl	TargType
31031	beer_ad	IG	P4	8.11722	beer_target
31031	beer_ad	IG	PO5	9.88927	beer_target
31031	beer_ad	IG	PO3	9.98094	beer_target
31031	beer_ad	IG	POz	9.67940	beer_target
31031	beer_ad	IG	PO4	10.49053	beer_target
31031	beer_ad	IG	PO6	10.50262	beer_target
31031	beer_ad	IG	O1	9.78599	beer_target
31031	beer_ad	IG	Oz	9.05997	beer_target
31031	beer_ad	IG	O2	11.63609	beer_target
31035	beer_ad	IG	P3	9.19510	beer_target
31035	beer_ad	IG	P1	10.53170	beer_target
31035	beer_ad	IG	Pz	11.01544	beer_target
31035	beer_ad	IG	P2	10.41489	beer_target
31035	beer_ad	IG	P4	9.13586	beer_target
31035	beer_ad	IG	PO5	10.08658	beer_target
31035	beer_ad	IG	PO3	10.22562	beer_target
31035	beer_ad	IG	POz	11.34709	beer_target
31035	beer_ad	IG	PO4	11.56234	beer_target
31035	beer_ad	IG	PO6	11.89281	beer_target
31035	beer_ad	IG	O1	6.97324	beer_target
31035	beer_ad	IG	Oz	7.52739	beer_target
31035	beer_ad	IG	O2	11.08919	beer_target
31040	beer_ad	IG	P3	18.05554	beer_target
31040	beer_ad	IG	P1	18.58870	beer_target
31040	beer_ad	IG	Pz	17.83684	beer_target
31040	beer_ad	IG	P2	18.59187	beer_target
31040	beer_ad	IG	P4	18.31192	beer_target
31040	beer_ad	IG	PO5	18.54364	beer_target
31040	beer_ad	IG	PO3	19.33829	beer_target
31040	beer_ad	IG	POz	19.34358	beer_target
31040	beer_ad	IG	PO4	20.50097	beer_target
31040	beer_ad	IG	PO6	21.85888	beer_target
31040	beer_ad	IG	O1	16.99281	beer_target
31040	beer_ad	IG	Oz	16.51102	beer_target
31040	beer_ad	IG	O2	19.98157	beer_target
31043	beer_ad	IG	P3	10.01173	beer_target
31043	beer_ad	IG	P1	10.15794	beer_target
31043	beer_ad	IG	Pz	8.69834	beer_target
31043	beer_ad	IG	P2	7.79841	beer_target
31043	beer_ad	IG	P4	7.58849	beer_target
31043	beer_ad	IG	PO5	9.86097	beer_target
31043	beer_ad	IG	PO3	11.24875	beer_target
31043	beer_ad	IG	POz	10.93213	beer_target
31043	beer_ad	IG	PO4	9.08398	beer_target
31043	beer_ad	IG	PO6	8.22557	beer_target
31043	beer_ad	IG	O1	7.39956	beer_target
31043	beer_ad	IG	Oz	7.50825	beer_target
31043	beer_ad	IG	O2	6.49729	beer_target
31048	beer_ad	IG	P3	14.75053	beer_target
31048	beer_ad	IG	P1	17.45993	beer_target
31048	beer_ad	IG	Pz	18.77818	beer_target
31048	beer_ad	IG	P2	19.85731	beer_target
31048	beer_ad	IG	P4	20.66768	beer_target
31048	beer_ad	IG	PO5	18.39338	beer_target
31048	beer_ad	IG	PO3	19.98621	beer_target
31048	beer_ad	IG	POz	21.83745	beer_target
31048	beer_ad	IG	PO4	25.19407	beer_target
31048	beer_ad	IG	PO6	27.12927	beer_target
31048	beer_ad	IG	O1	18.60782	beer_target
31048	beer_ad	IG	Oz	19.42335	beer_target
31048	beer_ad	IG	O2	25.59047	beer_target
31050	beer_ad	IG	P3	0.41844	beer_target
31050	beer_ad	IG	P1	0.29495	beer_target
31050	beer_ad	IG	Pz	-1.06715	beer_target
31050	beer_ad	IG	P2	-0.43871	beer_target
31050	beer_ad	IG	P4	0.92947	beer_target
31050	beer_ad	IG	PO5	1.29493	beer_target
31050	beer_ad	IG	PO3	0.21862	beer_target
31050	beer_ad	IG	POz	-0.13802	beer_target
31050	beer_ad	IG	PO4	-1.07002	beer_target
31050	beer_ad	IG	PO6	-2.47967	beer_target
31050	beer_ad	IG	O1	-1.30233	beer_target
31050	beer_ad	IG	Oz	-3.66020	beer_target
31050	beer_ad	IG	O2	-5.02734	beer_target
31055	beer_ad	IG	P3	8.12455	beer_target
31055	beer_ad	IG	P1	8.30017	beer_target
31055	beer_ad	IG	Pz	8.50138	beer_target
31055	beer_ad	IG	P2	7.47069	beer_target
31055	beer_ad	IG	P4	7.13825	beer_target
31055	beer_ad	IG	PO5	8.69927	beer_target
31055	beer_ad	IG	PO3	9.12737	beer_target
31055	beer_ad	IG	POz	8.76931	beer_target
31055	beer_ad	IG	PO4	8.10035	beer_target
31055	beer_ad	IG	PO6	7.52292	beer_target
31055	beer_ad	IG	O1	7.66619	beer_target
31055	beer_ad	IG	Oz	6.82830	beer_target
31055	beer_ad	IG	O2	6.21837	beer_target
31057	beer_ad	IG	P3	8.59384	beer_target
31057	beer_ad	IG	P1	10.15501	beer_target
31057	beer_ad	IG	Pz	12.76681	beer_target
31057	beer_ad	IG	P2	12.73514	beer_target
31057	beer_ad	IG	P4	10.14696	beer_target
31057	beer_ad	IG	PO5	8.39901	beer_target
31057	beer_ad	IG	PO3	11.01578	beer_target
31057	beer_ad	IG	POz	12.25939	beer_target
31057	beer_ad	IG	PO4	11.81678	beer_target
31057	beer_ad	IG	PO6	12.22370	beer_target
31057	beer_ad	IG	O1	6.08977	beer_target
31057	beer_ad	IG	Oz	7.56961	beer_target
31057	beer_ad	IG	O2	10.18498	beer_target
31062	beer_ad	IG	P3	6.20026	beer_target
31062	beer_ad	IG	P1	7.43596	beer_target
31062	beer_ad	IG	Pz	8.59444	beer_target
31062	beer_ad	IG	P2	9.11397	beer_target
31062	beer_ad	IG	P4	10.21420	beer_target
31062	beer_ad	IG	PO5	8.99311	beer_target
31062	beer_ad	IG	PO3	10.35253	beer_target
31062	beer_ad	IG	POz	12.17258	beer_target
31062	beer_ad	IG	PO4	13.98329	beer_target
31062	beer_ad	IG	PO6	15.94504	beer_target
31062	beer_ad	IG	O1	10.32671	beer_target
31062	beer_ad	IG	Oz	10.73119	beer_target
31062	beer_ad	IG	O2	17.69838	beer_target
31067	beer_ad	IG	P3	15.97873	beer_target
31067	beer_ad	IG	P1	17.14754	beer_target
31067	beer_ad	IG	Pz	18.92541	beer_target
31067	beer_ad	IG	P2	17.13326	beer_target
31067	beer_ad	IG	P4	16.07683	beer_target
31067	beer_ad	IG	PO5	18.47282	beer_target
31067	beer_ad	IG	PO3	19.17763	beer_target
31067	beer_ad	IG	POz	19.29393	beer_target
31067	beer_ad	IG	PO4	19.66221	beer_target
