Subject,Site,Gender,AlcQF_Baseline,AlcQF_Baseline_log,UIQ,UIQ_centered,TrialNum,TargetStimulus,Target_Beverage,Target_Context,Response_Label,Response
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,294,CUwater6.jpg,Water,Ingroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,300,CUwater3.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,305,ASbeer2.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,310,ASbeer4.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,314,ASbeer7.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,319,CUbeer8.jpg,Beer,Ingroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,324,ASwater2.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,335,CUwater5.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,339,CUwater2.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,344,CUbeer3.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,354,ASbeer6.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,359,ASbeer3.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,365,ASwater7.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,370,CUwater4.jpg,Water,Ingroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,375,CUbeer4.jpg,Beer,Ingroup,Pleasant,1
